system,instruction,input,output,history,intent
"You are an NLP data parser specialized in text classification.
Your task is to extract the intent of a comment.
Only output JSON with the predicted intent.
Do not add explanations.
You MUST choose one of the following labels ONLY:
Question, Complaint, Statement, Praise, Suggestion.
Do not invent new labels.","## YouTube Comment:
Thanks for the video tutorial

## Extracted JSON:
```json",,"{""predicted_intent"": ""Praise""}",[],Praise
"You are an NLP data parser specialized in text classification.
Your task is to extract the intent of a comment.
Only output JSON with the predicted intent.
Do not add explanations.
You MUST choose one of the following labels ONLY:
Question, Complaint, Statement, Praise, Suggestion.
Do not invent new labels.","## YouTube Comment:
How to cancel my send money to Philippines?

## Extracted JSON:
```json",,"{""predicted_intent"": ""Question""}",[],Question
"You are an NLP data parser specialized in text classification.
Your task is to extract the intent of a comment.
Only output JSON with the predicted intent.
Do not add explanations.
You MUST choose one of the following labels ONLY:
Question, Complaint, Statement, Praise, Suggestion.
Do not invent new labels.","## YouTube Comment:
Under review problem

## Extracted JSON:
```json",,"{""predicted_intent"": ""Complaint""}",[],Complaint
"You are an NLP data parser specialized in text classification.
Your task is to extract the intent of a comment.
Only output JSON with the predicted intent.
Do not add explanations.
You MUST choose one of the following labels ONLY:
Question, Complaint, Statement, Praise, Suggestion.
Do not invent new labels.","## YouTube Comment:
Why there is showing invalid input

## Extracted JSON:
```json",,"{""predicted_intent"": ""Question""}",[],Question
"You are an NLP data parser specialized in text classification.
Your task is to extract the intent of a comment.
Only output JSON with the predicted intent.
Do not add explanations.
You MUST choose one of the following labels ONLY:
Question, Complaint, Statement, Praise, Suggestion.
Do not invent new labels.","## YouTube Comment:
Verification call not received

## Extracted JSON:
```json",,"{""predicted_intent"": ""Complaint""}",[],Complaint
"You are an NLP data parser specialized in text classification.
Your task is to extract the intent of a comment.
Only output JSON with the predicted intent.
Do not add explanations.
You MUST choose one of the following labels ONLY:
Question, Complaint, Statement, Praise, Suggestion.
Do not invent new labels.","## YouTube Comment:
International transfer option no showing whats the problem?

## Extracted JSON:
```json",,"{""predicted_intent"": ""Question""}",[],Question
"You are an NLP data parser specialized in text classification.
Your task is to extract the intent of a comment.
Only output JSON with the predicted intent.
Do not add explanations.
You MUST choose one of the following labels ONLY:
Question, Complaint, Statement, Praise, Suggestion.
Do not invent new labels.","## YouTube Comment:
Bhai first time money trsfar me Kitna time lagta he

## Extracted JSON:
```json",,"{""predicted_intent"": ""Question""}",[],Question
"You are an NLP data parser specialized in text classification.
Your task is to extract the intent of a comment.
Only output JSON with the predicted intent.
Do not add explanations.
You MUST choose one of the following labels ONLY:
Question, Complaint, Statement, Praise, Suggestion.
Do not invent new labels.","## YouTube Comment:
International transfer in progress

## Extracted JSON:
```json",,"{""predicted_intent"": ""Statement""}",[],Statement
"You are an NLP data parser specialized in text classification.
Your task is to extract the intent of a comment.
Only output JSON with the predicted intent.
Do not add explanations.
You MUST choose one of the following labels ONLY:
Question, Complaint, Statement, Praise, Suggestion.
Do not invent new labels.","## YouTube Comment:
It doesn&#39;t work. Just notification warning and it wont proceed.

## Extracted JSON:
```json",,"{""predicted_intent"": ""Complaint""}",[],Complaint
"You are an NLP data parser specialized in text classification.
Your task is to extract the intent of a comment.
Only output JSON with the predicted intent.
Do not add explanations.
You MUST choose one of the following labels ONLY:
Question, Complaint, Statement, Praise, Suggestion.
Do not invent new labels.","## YouTube Comment:
What problem no showing international transfer?

## Extracted JSON:
```json",,"{""predicted_intent"": ""Question""}",[],Question
"You are an NLP data parser specialized in text classification.
Your task is to extract the intent of a comment.
Only output JSON with the predicted intent.
Do not add explanations.
You MUST choose one of the following labels ONLY:
Question, Complaint, Statement, Praise, Suggestion.
Do not invent new labels.","## YouTube Comment:
Bhai Kitna time lgta hai transfer hone me

## Extracted JSON:
```json",,"{""predicted_intent"": ""Question""}",[],Question
"You are an NLP data parser specialized in text classification.
Your task is to extract the intent of a comment.
Only output JSON with the predicted intent.
Do not add explanations.
You MUST choose one of the following labels ONLY:
Question, Complaint, Statement, Praise, Suggestion.
Do not invent new labels.","## YouTube Comment:
Kya Nepal se india bej sakte h pase

## Extracted JSON:
```json",,"{""predicted_intent"": ""Question""}",[],Question
"You are an NLP data parser specialized in text classification.
Your task is to extract the intent of a comment.
Only output JSON with the predicted intent.
Do not add explanations.
You MUST choose one of the following labels ONLY:
Question, Complaint, Statement, Praise, Suggestion.
Do not invent new labels.","## YouTube Comment:
Why international pay 98 ksa

## Extracted JSON:
```json",,"{""predicted_intent"": ""Question""}",[],Question
"You are an NLP data parser specialized in text classification.
Your task is to extract the intent of a comment.
Only output JSON with the predicted intent.
Do not add explanations.
You MUST choose one of the following labels ONLY:
Question, Complaint, Statement, Praise, Suggestion.
Do not invent new labels.","## YouTube Comment:
What if the beneficiary has a single name on the account. As Barq is accepting double name as a Full Name. <br>I mean single word name not double. What to do in that case?

## Extracted JSON:
```json",,"{""predicted_intent"": ""Question""}",[],Question
"You are an NLP data parser specialized in text classification.
Your task is to extract the intent of a comment.
Only output JSON with the predicted intent.
Do not add explanations.
You MUST choose one of the following labels ONLY:
Question, Complaint, Statement, Praise, Suggestion.
Do not invent new labels.","## YouTube Comment:
Why my verification is pending

## Extracted JSON:
```json",,"{""predicted_intent"": ""Question""}",[],Question
"You are an NLP data parser specialized in text classification.
Your task is to extract the intent of a comment.
Only output JSON with the predicted intent.
Do not add explanations.
You MUST choose one of the following labels ONLY:
Question, Complaint, Statement, Praise, Suggestion.
Do not invent new labels.","## YouTube Comment:
My beneficiary was rejected. And I can&#39;t send money. What will I do?

## Extracted JSON:
```json",,"{""predicted_intent"": ""Question""}",[],Question
"You are an NLP data parser specialized in text classification.
Your task is to extract the intent of a comment.
Only output JSON with the predicted intent.
Do not add explanations.
You MUST choose one of the following labels ONLY:
Question, Complaint, Statement, Praise, Suggestion.
Do not invent new labels.","## YouTube Comment:
খুব সহজ একটা এপস ৫ মিনিটে দেশে টাকা পাঠালাম🥰🥰আজকেই ওপেন করলাম আজকে প্রথম টানজিট করলাম,

## Extracted JSON:
```json",,"{""predicted_intent"": ""Praise""}",[],Praise
