comment,intent,source,confidence,latency_ms,cost_usd,stage
Thanks for the video tutorial,Praise,gpt-4o-mini,1.0,3669.07,2.4e-05,training
How to cancel my send money to Philippines?,Question,gpt-4o-mini,1.0,729.19,2.4e-05,training
Under review problem,Complaint,gpt-4o-mini,1.0,1029.16,2.4e-05,training
Why there is showing invalid input,Question,gpt-4o-mini,1.0,708.41,2.4e-05,training
Verification call not received,Complaint,gpt-4o-mini,1.0,1332.4,2.4e-05,training
International transfer option no showing whats the problem?,Question,gpt-4o-mini,1.0,1023.81,2.4e-05,training
Bhai first time money trsfar me Kitna time lagta he,Question,gpt-4o-mini,1.0,821.58,2.5e-05,training
International transfer in progress,Statement,gpt-4o-mini,1.0,918.78,2.4e-05,training
It doesn&#39;t work. Just notification warning and it wont proceed.,Complaint,gpt-4o-mini,1.0,723.95,2.5e-05,training
What problem no showing international transfer?,Question,gpt-4o-mini,1.0,1454.63,2.4e-05,training
Bhai Kitna time lgta hai transfer hone me,Question,gpt-4o-mini,1.0,892.99,2.5e-05,training
Kya Nepal se india bej sakte h pase,Question,gpt-4o-mini,1.0,631.88,2.5e-05,training
Why international pay 98 ksa,Question,gpt-4o-mini,1.0,1230.63,2.4e-05,training
What if the beneficiary has a single name on the account. As Barq is accepting double name as a Full Name. <br>I mean single word name not double. What to do in that case?,Question,gpt-4o-mini,1.0,878.11,2.9e-05,training
Why my verification is pending,Question,gpt-4o-mini,1.0,2128.42,2.4e-05,training
My beneficiary was rejected. And I can&#39;t send money. What will I do?,Question,gpt-4o-mini,1.0,822.27,2.6e-05,training
"খুব সহজ একটা এপস ৫ মিনিটে দেশে টাকা পাঠালাম🥰🥰আজকেই ওপেন করলাম আজকে প্রথম টানজিট করলাম,",Praise,gpt-4o-mini,1.0,965.91,3.1e-05,training
Am send money india. Not go why,Question,gpt-4o-mini,1.0,1380.52,2.4e-05,training
Barq account is its not same another bank very easy what happen my money im transfern to my gcash after now its not to come why always in process i hate barq bank its not good,Complaint,gpt-4o-mini,1.0,611.82,2.9e-05,training
